Time Stamp	Elapsed Time	AC 1 A	AC 2 A	AC 3 A	AC 4 A	AC 5 A	AC 6 A	AC 7 A	AC 8 A	DC 1 A	DC 2 A	DC 3 A	DC 4 A	DC 5 A	DC 6 A	DC 7 A	DC 8 A	PH 1 A	PH 2 A	PH 3 A	PH 4 A	PH 5 A	PH 6 A	PH 7 A	PH 8 A	AUX 1	AUX 2	AUX 3	AUX 4	Marker	AC 1 B	AC 2 B	AC 3 B	AC 4 B	AC 5 B	AC 6 B	AC 7 B	AC 8 B	DC 1 B	DC 2 B	DC 3 B	DC 4 B	DC 5 B	DC 6 B	DC 7 B	DC 8 B	PH 1 B	PH 2 B	PH 3 B	PH 4 B	PH 5 B	PH 6 B	PH 7 B	PH 8 B	
8465309	  0.00	134.143803	16.194761	129.350247	20.585109	164.057291	36.709549	233.914887	11.572778	757.705712	103.452772	759.543377	133.414088	951.080178	223.456999	1345.278230	81.224824	166.465073	172.622269	173.508316	179.904709	180.000000	193.345657	188.878586	201.981766	0	0	0	0	0	3.876715	0.419068	2.105571	1.390735	1.867072	3.369886	1.129508	1.342386	7.701092	4.556142	4.908382	4.863699	3.921313	8.799111	4.339037	4.658415	29.107384	238.783501	246.270424	241.394115	180.000000	329.609264	244.445629	54.760475	
8465329	  0.02	133.914515	16.148964	129.443890	20.372721	164.154609	36.414431	233.362332	11.708166	756.865486	103.376676	758.899099	132.961916	951.380203	223.235550	1344.324228	81.222452	166.448067	172.373520	173.466568	180.281242	180.000000	193.107620	188.896538	201.569244	0	0	0	0	0	0.565002	2.327777	2.162927	3.206132	4.349913	0.183729	3.751630	1.359449	3.078511	8.213259	3.864635	5.229473	5.024233	4.417819	10.455173	4.521545	56.306866	170.440831	148.221537	112.733032	180.000000	338.432346	98.093964	115.705139	
8465349	  0.04	133.854501	16.328615	129.002898	20.579163	163.878469	36.451439	232.850512	11.602156	756.139156	103.208293	757.445708	132.673086	950.386303	222.910604	1342.532013	80.949491	166.502701	172.271584	173.539513	179.616699	180.000000	193.273270	188.909111	201.585426	0	0	0	0	0	3.512088	4.248974	4.484812	1.387778	0.461089	9.146751	1.541914	4.349431	6.465988	7.227926	8.668553	5.191601	4.235941	8.526412	5.675439	5.826452	283.845539	181.169679	262.751560	295.298153	180.000000	169.703849	306.049419	91.436748	
8465369	  0.06	134.043053	15.997821	128.963503	20.589942	163.989819	36.599224	233.234175	11.666842	755.108715	102.932603	756.375979	132.385736	949.887646	222.882176	1342.088016	80.957391	166.363808	172.757362	173.507202	179.862633	180.000000	193.386993	188.809593	202.123024	0	0	0	0	0	0.768681	2.209866	4.399182	5.497378	1.106911	3.633177	1.124670	3.932357	5.066054	5.531629	7.416030	9.402728	3.419319	5.599868	8.793428	6.240750	213.832648	82.533484	153.332240	200.296021	180.000000	289.356360	298.182471	168.158298	
8465389	  0.08	133.528168	16.091306	128.958074	20.378806	164.027993	36.379811	233.027183	11.619575	754.194549	102.744302	755.331323	132.175145	949.591160	222.646970	1341.726132	81.005860	166.567619	172.092995	173.551826	179.571037	180.000000	193.336571	188.981400	202.242348	0	0	0	0	0	0.109861	0.607844	3.735457	3.271486	5.571359	0.622870	2.623226	0.127986	5.790445	3.067839	7.349786	6.522363	12.453733	7.699574	7.072879	3.416760	103.679222	131.966187	153.961250	199.450970	180.000000	325.482079	38.543602	142.724648	
8465409	  0.10	133.223919	16.185723	128.747987	20.262074	163.887940	36.471002	233.200759	11.491935	753.816560	102.868173	755.202358	132.172049	949.202373	222.494609	1341.381574	80.831011	166.558441	172.476219	173.651474	180.545425	180.000000	193.231346	188.981934	200.863487	0	0	0	0	0	1.136672	4.250885	0.868562	5.821823	1.581185	3.417808	1.405422	4.403827	5.463562	7.354298	4.145229	7.901214	7.606477	12.337101	5.989871	5.870896	54.517632	18.357338	199.679100	133.114853	180.000000	219.853966	146.008270	89.559421	
8465429	  0.12	133.413920	16.142556	128.472502	20.370319	163.697527	36.519219	233.018277	11.620591	753.576077	102.875791	754.865181	132.184006	949.102263	222.529962	1340.993458	80.939097	166.598457	172.518822	173.592377	180.125763	180.000000	193.201340	188.965668	201.693558	0	0	0	0	0	3.381659	2.084176	2.930065	2.289222	2.377383	2.485844	3.235838	1.843740	8.357938	7.063942	7.980299	4.302315	6.453580	5.819706	8.638641	6.430133	167.004639	208.308895	78.310410	228.301685	180.000000	246.177191	107.098679	222.135433	
8465449	  0.14	133.474849	16.014836	128.353709	20.333231	163.813788	36.435120	233.325835	11.696114	753.536180	102.917481	754.905689	132.120561	949.523749	222.604403	1341.767494	80.949117	166.539642	172.079941	173.528824	180.452156	180.000000	193.391617	188.956558	201.482018	0	0	0	0	0	1.344727	3.265470	4.483763	4.144029	1.038966	4.579355	6.193837	2.123089	3.625427	6.821221	5.804631	7.115610	5.195180	8.406526	7.733542	5.546465	98.516724	155.557892	266.067001	279.396168	180.000000	227.231438	80.913605	312.816117	
8465469	  0.16	133.486532	16.029874	128.886820	20.370673	163.752279	36.521545	232.988445	11.519584	753.856092	102.913882	755.532397	132.253964	949.216831	222.637499	1341.908416	81.053620	166.422478	172.862915	173.501495	179.376427	180.000000	193.132851	188.806229	201.232521	0	0	0	0	0	2.224028	1.670917	8.708416	1.140202	0.668809	5.952715	0.767084	1.934399	5.964558	3.796894	12.485402	4.154903	3.159071	10.950961	4.068812	5.703333	297.084904	186.475742	320.985584	145.608042	180.000000	288.767109	154.240908	356.497341	
8465489	  0.18	133.247986	16.103120	128.516670	20.237632	163.709957	36.699155	233.216391	11.525776	753.765682	102.909535	755.478956	132.317806	949.451091	222.666888	1342.323252	80.995558	166.442116	172.613129	173.368988	179.902351	180.000000	192.951332	188.830101	202.397507	0	0	0	0	0	1.182780	4.595329	4.751872	3.304716	1.445383	19.193278	13.277596	4.284589	7.626866	7.865575	6.900697	5.704853	6.897334	16.636120	10.622518	8.043333	89.951286	71.946075	335.115022	4.604790	180.000000	349.135098	41.064293	218.745888	
