Time Stamp	Elapsed Time	AC 1 A	AC 2 A	AC 3 A	AC 4 A	AC 5 A	AC 6 A	AC 7 A	AC 8 A	DC 1 A	DC 2 A	DC 3 A	DC 4 A	DC 5 A	DC 6 A	DC 7 A	DC 8 A	PH 1 A	PH 2 A	PH 3 A	PH 4 A	PH 5 A	PH 6 A	PH 7 A	PH 8 A	AUX 1	AUX 2	AUX 3	AUX 4	Marker	AC 1 B	AC 2 B	AC 3 B	AC 4 B	AC 5 B	AC 6 B	AC 7 B	AC 8 B	DC 1 B	DC 2 B	DC 3 B	DC 4 B	DC 5 B	DC 6 B	DC 7 B	DC 8 B	PH 1 B	PH 2 B	PH 3 B	PH 4 B	PH 5 B	PH 6 B	PH 7 B	PH 8 B	
4022462	  0.00	97.421516	23.432318	131.976909	34.452389	127.401751	45.767223	235.479263	24.781843	555.159824	146.394792	779.484197	214.072683	733.910757	276.650038	1360.376689	156.066687	167.288193	173.185593	172.166122	176.528030	180.000000	192.430092	186.539726	194.772461	0	0	0	0	0	4.922214	6.557140	1.477634	3.883075	1.239759	3.481879	6.116468	1.701340	8.619227	7.541838	5.794566	5.262769	7.007069	6.099433	7.193980	4.240539	0.744255	177.066517	165.589314	305.764778	180.000000	137.736061	255.629524	76.713470	
4022482	  0.02	97.410520	23.417713	131.632579	34.181418	127.190085	46.172207	235.568651	24.570114	554.549709	146.134955	779.231147	213.274229	733.379218	276.373195	1360.227104	155.902461	167.152863	173.083275	172.158295	176.857803	180.000000	192.644478	186.342529	195.132942	0	0	0	0	0	2.697304	5.959180	0.774798	4.175109	0.772169	1.837914	1.701449	0.860428	7.156020	6.639645	3.737569	7.625999	3.469339	6.808706	6.107762	6.085680	244.463165	335.935677	187.687523	96.012043	180.000000	256.656555	128.191360	109.046494	
4022502	  0.04	97.390693	23.493345	131.608345	33.978651	127.097365	46.097140	235.130511	24.630460	553.855529	145.709671	778.216567	212.787361	733.017639	276.219584	1359.156460	155.815162	167.281914	173.456413	172.175766	176.374344	180.000000	192.640396	186.461594	194.596764	0	0	0	0	0	3.372650	1.767402	1.350297	0.494920	3.751935	0.753846	2.752337	3.243111	5.778580	6.432454	4.083692	4.217720	5.212034	3.869645	4.588115	6.383432	71.258560	158.533447	307.392567	134.318291	180.000000	269.699232	47.056030	291.380211	
4022522	  0.06	97.244860	23.379520	131.534787	34.169724	126.691702	45.948188	235.103501	24.476242	552.843511	145.491638	777.732123	212.478933	732.105060	275.743498	1358.817636	155.650067	167.107323	172.667435	172.022415	176.306328	180.000000	192.632347	186.406120	194.891937	0	0	0	0	0	0.466870	1.317832	1.341010	1.301048	0.528566	4.531305	6.827522	0.977056	6.367663	3.389472	4.158829	3.395698	4.357236	6.655393	8.295338	7.386727	355.904686	318.986664	103.356827	174.356773	180.000000	54.013596	134.594040	131.888840	
4022542	  0.08	96.967385	23.226444	131.160687	34.162266	126.732476	45.728412	235.005709	24.675581	552.315632	145.210876	776.588334	212.236757	731.457305	275.294712	1358.458070	155.654596	167.403854	173.522888	172.206612	176.688240	180.000000	192.729446	186.581413	194.858093	0	0	0	0	0	2.143792	1.493941	3.569099	3.377595	6.094369	7.450215	0.987241	1.428596	5.258886	4.473131	6.304369	5.145161	8.051184	9.279826	5.166591	4.433133	39.837353	256.924772	90.796169	165.606403	180.000000	103.120388	237.483002	175.478893	
4022562	  0.10	96.923308	23.296858	131.056155	34.279206	126.759891	45.613448	234.839271	24.806573	551.784764	144.871641	776.027389	212.529735	730.728657	275.004540	1357.792868	155.671495	167.365173	173.019379	172.317657	176.819931	180.000000	192.611755	186.482712	194.968544	0	0	0	0	0	7.921583	5.739455	3.255700	1.092709	3.300093	4.277151	1.656246	2.421792	8.307745	10.760689	8.106649	4.015474	7.339852	5.380616	6.753306	6.361633	34.153191	232.660528	92.539635	186.740986	180.000000	116.176796	266.640144	359.601135	
4022582	  0.12	96.795822	23.385604	131.240620	34.068711	126.820111	45.855151	235.232817	24.499131	551.544768	144.660211	776.877987	212.506690	730.237259	274.682890	1358.787621	155.665623	167.172470	172.962578	172.042610	176.826035	180.000000	192.638855	186.421501	195.436668	0	0	0	0	0	3.167748	0.854941	0.171045	0.909291	0.937303	1.512033	2.159516	3.243693	5.783960	2.977540	3.224621	4.548529	5.759101	3.963849	6.338033	5.857600	77.769417	37.900803	123.711632	66.717445	180.000000	315.467506	198.675247	151.282402	
4022602	  0.14	96.823016	23.313827	131.116825	34.083939	126.451608	45.610805	234.901725	24.531054	550.962899	144.539634	776.840103	212.702945	729.624155	274.397690	1358.706850	155.719125	167.302010	172.838249	172.042397	176.897865	180.000000	192.621056	186.466537	194.965088	0	0	0	0	0	2.241776	2.415025	1.064972	0.877834	2.639348	1.513241	1.734621	1.532072	8.627535	7.087456	6.454232	4.070699	8.450950	4.980027	4.353201	5.786020	61.215292	174.589241	299.251587	81.881738	180.000000	72.520203	219.587372	168.361137	
4022622	  0.16	96.707731	23.234678	131.442791	34.202145	126.393363	45.743332	235.364664	24.579780	551.124259	144.618194	778.177950	212.995145	729.353962	274.524977	1359.902555	155.934382	167.220284	173.354980	172.067627	176.546410	180.000000	192.650002	186.335846	194.730377	0	0	0	0	0	1.465712	2.364427	3.259274	0.507874	5.281250	0.991283	6.296465	2.809368	6.434926	4.731752	6.095614	5.176656	7.877809	5.903390	8.761868	6.696931	95.056137	190.450699	56.392868	99.004154	180.000000	66.009315	193.877777	286.523720	
4022642	  0.18	97.045739	23.078131	131.347303	34.347112	126.537633	45.714312	235.625417	24.855962	551.120232	144.634559	778.021776	213.606464	729.399655	274.641101	1361.707216	156.153437	167.290352	173.191994	172.299759	177.257812	180.000000	192.660164	186.556679	195.410820	0	0	0	0	0	4.902802	4.332219	0.964044	1.121185	2.276086	4.006408	3.004742	4.012387	8.182871	7.578387	3.667985	4.117573	4.907406	6.643550	4.691364	6.312112	66.534920	117.163419	240.908798	180.437897	180.000000	285.750137	20.224113	85.246864	
