Time Stamp	Elapsed Time	AC 1 A	AC 2 A	AC 3 A	AC 4 A	AC 5 A	AC 6 A	AC 7 A	AC 8 A	DC 1 A	DC 2 A	DC 3 A	DC 4 A	DC 5 A	DC 6 A	DC 7 A	DC 8 A	PH 1 A	PH 2 A	PH 3 A	PH 4 A	PH 5 A	PH 6 A	PH 7 A	PH 8 A	AUX 1	AUX 2	AUX 3	AUX 4	Marker	AC 1 B	AC 2 B	AC 3 B	AC 4 B	AC 5 B	AC 6 B	AC 7 B	AC 8 B	DC 1 B	DC 2 B	DC 3 B	DC 4 B	DC 5 B	DC 6 B	DC 7 B	DC 8 B	PH 1 B	PH 2 B	PH 3 B	PH 4 B	PH 5 B	PH 6 B	PH 7 B	PH 8 B	
7922909	  0.00	168.970433	33.306022	105.967497	25.497308	233.129810	60.673279	221.130804	17.951199	958.730738	202.458239	628.903157	163.074830	1351.257243	361.052196	1280.135981	118.909379	167.299110	172.102486	173.123245	178.216766	180.000000	192.382118	188.008011	197.689896	0	0	0	0	0	6.277979	3.901004	2.323394	2.265898	4.382187	2.333488	3.218836	5.272708	11.558375	7.717665	7.107260	3.767134	7.331609	4.891442	8.330391	7.225193	91.521873	131.394630	87.673824	25.501626	180.000000	54.194019	289.623047	229.841812	
7922929	  0.02	168.876287	33.368293	105.934020	25.561785	232.936194	60.729492	221.101460	17.974640	959.151187	202.511619	628.833854	163.120218	1350.915857	360.918411	1280.045083	118.780512	167.415359	172.564423	173.158783	178.237282	180.000000	192.602287	188.093575	197.799477	0	0	0	0	0	0.984765	3.567674	1.800124	4.435173	2.211566	7.465871	2.860479	1.162174	3.319563	6.140059	5.280317	5.431611	4.245767	8.483768	4.699433	4.083800	295.895193	86.885361	30.975586	339.125809	180.000000	177.740082	340.074287	297.674143	
7922949	  0.04	169.038180	33.235076	105.629207	25.538881	232.985852	60.643905	220.734055	17.956804	958.884959	202.478432	628.250887	162.832608	1350.019078	360.664842	1278.441740	118.525335	167.295654	172.314674	173.105064	178.282280	180.000000	192.370453	187.889420	197.275688	0	0	0	0	0	5.069999	0.715210	2.782768	3.022341	1.343952	5.956069	5.304752	0.417050	8.743452	8.274429	4.929899	5.053408	8.702911	8.232825	7.559754	4.150304	11.943340	191.340559	267.784237	2.428265	180.000000	182.158386	58.739819	310.991390	
7922969	  0.06	168.599948	33.042570	105.373274	25.385111	232.544784	60.588725	220.478962	18.014761	957.571270	202.103996	626.712759	162.282553	1348.205999	360.045577	1275.382078	118.191803	167.305168	172.156662	172.972725	178.052002	180.000000	192.127159	187.849075	197.707718	0	0	0	0	0	1.219855	1.662555	1.045292	5.603152	2.669011	1.506286	1.605384	5.172907	5.934277	4.234704	4.748563	7.421735	7.005485	6.519738	6.137566	8.806464	124.328491	312.441758	11.980240	283.849678	180.000000	359.255220	217.937126	337.157151	
7922989	  0.08	168.635437	32.978831	105.049435	25.344728	232.044799	60.362918	220.053953	17.891574	955.873674	201.632334	624.112528	161.415972	1345.887917	359.298475	1272.660141	117.693046	167.336601	172.474159	173.044548	178.480591	180.000000	192.324188	187.890327	197.692215	0	0	0	0	0	1.590416	10.162894	1.345123	1.184894	0.548894	1.164688	1.876520	1.616385	5.605225	12.395949	7.204392	6.363433	4.255137	6.858095	7.164740	3.500964	279.276871	299.878113	94.665245	45.135567	180.000000	231.133582	227.552852	283.923637	
7923009	  0.10	168.227647	32.782295	104.570307	25.176134	232.239025	60.177900	219.546296	17.881760	953.987999	201.167427	621.769862	160.696094	1344.198923	358.920851	1270.066681	117.341251	167.290382	172.168503	172.965492	178.442444	180.000000	192.210670	187.862648	198.055443	0	0	0	0	0	5.648849	0.122259	3.566489	6.033351	3.106902	2.359726	5.110750	2.100627	8.506998	3.639613	6.930912	11.018746	6.151924	7.751199	6.313891	6.044663	355.867142	254.597748	314.571747	256.626938	180.000000	143.653862	348.577221	8.877611	
7923029	  0.12	167.622291	32.713980	104.397021	25.139588	231.552181	60.315681	219.482973	17.676339	952.083533	200.625944	620.274986	160.187218	1342.143287	358.036609	1268.636838	117.047228	167.332512	172.097885	173.181793	178.147545	180.000000	192.262733	187.956650	198.065849	0	0	0	0	0	2.873213	2.301580	4.648002	1.319597	1.168511	1.421979	0.720954	1.624858	6.413582	6.719946	8.898695	5.876579	4.567899	5.464343	3.765746	4.174555	112.324165	28.124863	252.855019	32.938473	180.000000	139.879684	114.897705	290.222664	
7923049	  0.14	167.552653	33.022358	104.284214	25.085903	231.247093	60.021826	219.520628	17.603880	950.857204	200.345471	619.312261	159.524105	1340.375962	357.666429	1267.613656	116.940294	167.426506	172.149048	173.105064	178.290001	180.000000	192.237755	187.956238	198.035324	0	0	0	0	0	7.656600	0.982678	1.732046	3.509766	3.311164	7.448509	2.252486	5.165827	7.638970	6.183637	5.672967	6.062297	9.991593	9.057104	4.997272	7.872907	98.231318	91.700130	207.214966	45.669624	180.000000	78.499398	144.633606	56.414595	
7923069	  0.16	167.450012	32.839270	104.272372	24.929035	231.400338	60.192648	219.972815	17.629550	950.433888	200.004497	618.972217	159.548721	1340.703926	357.379124	1268.048990	116.813105	167.370834	172.211044	173.190659	178.302132	180.000000	192.547905	187.989731	198.025452	0	0	0	0	0	0.428737	1.319364	0.921069	6.740523	1.583515	2.016234	1.753525	0.741636	5.391331	7.645477	3.361882	8.949472	6.626284	10.016451	7.032317	5.062518	242.401222	352.807265	66.686996	295.570545	180.000000	276.351196	19.103474	205.872055	
7923089	  0.18	167.556344	32.887921	104.060851	25.129846	231.652367	60.231238	219.677275	17.766225	950.489524	199.985387	618.962151	159.571201	1341.097411	357.504307	1268.373905	117.009138	167.361664	172.164452	173.242027	178.198250	180.000000	192.519150	187.939896	197.527458	0	0	0	0	0	1.545520	6.081905	2.557137	2.075231	1.225788	5.919827	0.121522	1.287684	8.035871	7.763714	8.023009	6.415123	6.226954	6.451628	4.471851	7.514594	175.148054	160.941825	297.322922	138.959776	180.000000	110.520100	59.823677	99.502407	
